"id","importance","name","path"
1,HAUTE,FFR,https://api.liguebretagne.ffr.fr/wp-content/uploads/2019/08/logo_LIGUES_REGIONALES_BRETAGNE_cmjn.svg
2,HAUTE,FFR_COQ,https://api.www.ffr.fr/wp-content/uploads/2019/06/ffr_white.svg
3,HAUTE,AURORE,https://upload.wikimedia.org/wikipedia/fr/0/0d/Aurore_de_Vitr%C3%A9.png
4,BASSE,NETTO,https://www.netto.fr/profiles/netto/themes/netto_theme/logo.png
5,BASSE,PIGEON,https://www.groupe-pigeon.com/sites/groupe-pigeon.com/themes/custom/acreat/assets/images/header/logo-groupe-pigeon.svg
6,BASSE,Le Voyageur,https://www.le-bistrot-des-voyageurs.fr/wp-content/uploads/2019/07/logo-bistrot-des-voyageurs.png
